No.,Account Number,Category,Product Name,Location,Amount,Transaction Date
1,11110,Grocery,PUREGOLD PRICE CLUB,Quezon City,1727.95,01/28/2020
2,11110,Grocery,PUREGOLD PRICE CLUB,Quezon City,1807.6,01/29/2020
3,11110,Grocery,PUREGOLD PRICE CLUB,Quezon City,2727.4,02/01/2020
4,11110,Grocery,PUREGOLD PRICE CLUB,Pampanga,1011.03,02/02/2020
5,11111,Travel,Cebu Pacific,PHL,4182.24,01/10/2020
6,11111,Travel,Cebu Pacific,PHL,10832.2,01/10/2020
7,11111,Vehicle Maintenance,Motolite BatParts,Quezon City,5738,01/20/2020
8,11111,Department Store,The SM Store,Quezon City,174.75,01/30/2020
9,11111,Department Store,The SM Store,Quezon City,1999,01/30/2020
10,11111,Vehicle Maintenance,Motolite,Quezon City,11200,02/06/2020
11,11112,Bills,PLDT,Makati City,1048.78,12/16/2019
12,11112,Bills,PLDT,Makati City,1069.14,12/16/2019
13,11112,Bills,PLDT,Makati City,2272.12,12/16/2019
14,11112,Bills,PLDT,Makati City,1048.81,12/17/2019
15,11112,Bills,PLDT,Makati City,1048.78,12/17/2019
16,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
17,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
18,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
19,11112,Bills,PLDT,Makati City,1493.53,12/17/2019
20,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
21,11112,Bills,PLDT,Makati City,1328.78,12/17/2019
22,11112,Bills,PLDT,Makati City,1048.81,12/17/2019
23,11112,Bills,PLDT,Makati City,1048.81,12/17/2019
24,11112,Bills,PLDT,Makati City,1048.78,12/17/2019
25,11112,Bills,PLDT,Makati City,1048.81,12/17/2019
26,11112,Bills,PLDT,Makati City,1048.78,12/17/2019
27,11112,Bills,PLDT,Makati City,1048.78,12/17/2019
28,11112,Bills,PLDT,Makati City,1048.78,12/17/2019
29,11112,Bills,PLDT,Makati City,3360,12/17/2019
30,11112,Bills,PLDT,Makati City,3360,12/17/2019
31,11112,Bills,PLDT,Makati City,717.77,12/17/2019
32,11112,Bills,PLDT,Makati City,4798.15,12/17/2019
33,11112,Bills,PLDT,Makati City,1048.81,12/17/2019
34,11112,Bills,PLDT,Makati City,4076.09,12/17/2019
35,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
36,11112,Bills,PLDT,Makati City,2800,12/17/2019
37,11112,Bills,PLDT,Makati City,3360,12/17/2019
38,11112,Bills,PLDT,Makati City,3360,12/17/2019
39,11112,Bills,PLDT,Makati City,3360,12/17/2019
40,11112,Bills,PLDT,Makati City,3360,12/17/2019
41,11112,Bills,PLDT,Makati City,3360,12/17/2019
42,11112,Bills,PLDT,Makati City,1498.63,12/17/2019
43,11112,Bills,PLDT,Makati City,3360,12/17/2019
44,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
45,11112,Bills,PLDT,Makati City,3360,12/17/2019
46,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
47,11112,Bills,PLDT,Makati City,3920,12/17/2019
48,11112,Bills,PLDT,Makati City,3360,12/17/2019
49,11112,Bills,PLDT,Makati City,3360,12/17/2019
50,11112,Bills,PLDT,Makati City,3360,12/17/2019
51,11112,Bills,PLDT,Makati City,3360,12/17/2019
52,11112,Bills,PLDT,Makati City,3360,12/17/2019
53,11112,Bills,PLDT,Makati City,3360,12/17/2019
54,11112,Bills,PLDT,Makati City,3360,12/17/2019
55,11112,Bills,PLDT,Makati City,3360,12/17/2019
56,11112,Bills,PLDT,Makati City,3360,12/17/2019
57,11112,Bills,PLDT,Makati City,3360,12/17/2019
58,11112,Bills,PLDT,Makati City,1048.81,12/17/2019
59,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
60,11112,Bills,PLDT,Makati City,3360,12/17/2019
61,11112,Bills,PLDT,Makati City,1048.81,12/17/2019
62,11112,Bills,PLDT,Makati City,1099.71,12/17/2019
63,11112,Bills,PLDT,Makati City,717.77,12/17/2019
64,11112,Bills,PLDT,Makati City,1048.78,12/17/2019
65,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
66,11112,Bills,PLDT,Makati City,1048.81,12/17/2019
67,11112,Bills,PLDT,Makati City,3920,12/17/2019
